val/loss,val/acc,val/acc_best,epoch,step,train/loss,train/acc
1.0897018909454346,0.8446000218391418,0.8446000218391418,0,54,,
,,,0,54,1.7229197025299072,0.48632726073265076
0.5070289969444275,0.948199987411499,0.948199987411499,1,109,,
,,,1,109,0.9641245007514954,0.8343636393547058
0.2686818242073059,0.9634000062942505,0.9634000062942505,2,164,,
,,,2,164,0.5425418019294739,0.9188363552093506
0.16729001700878143,0.9710000157356262,0.9710000157356262,3,219,,
,,,3,219,0.34304729104042053,0.9461091160774231
0.12329624593257904,0.9751999974250793,0.9751999974250793,4,274,,
,,,4,274,0.24511757493019104,0.9586727023124695
1.1218491792678833,0.8464000225067139,0.8464000225067139,0,54,,
,,,0,54,1.74446439743042,0.5467818379402161
0.5344922542572021,0.9434000253677368,0.9434000253677368,1,109,,
,,,1,109,0.9211943745613098,0.8635091185569763
0.3016645312309265,0.9580000042915344,0.9580000042915344,2,164,,
,,,2,164,0.5223196744918823,0.9248727560043335
0.19238921999931335,0.9696000218391418,0.9696000218391418,3,219,,
,,,3,219,0.34059375524520874,0.9441090822219849
0.13776032626628876,0.9757999777793884,0.9757999777793884,4,274,,
,,,4,274,0.24819299578666687,0.9548909068107605
1.1204239130020142,0.8357999920845032,0.8357999920845032,0,54,,
,,,0,54,1.7524662017822266,0.5160727500915527
0.5686357617378235,0.9444000124931335,0.9444000124931335,1,109,,
,,,1,109,0.9544457197189331,0.8497272729873657
0.307569682598114,0.9616000056266785,0.9616000056266785,2,164,,
,,,2,164,0.5481846332550049,0.9242727160453796
0.18835821747779846,0.9703999757766724,0.9703999757766724,3,219,,
,,,3,219,0.34565699100494385,0.9457091093063354
0.13640883564949036,0.9747999906539917,0.9747999906539917,4,274,,
,,,4,274,0.24900086224079132,0.9553999900817871
