val/loss,val/acc,val/acc_best,epoch,step,train/loss,train/acc
1.0677292346954346,0.857200026512146,0.857200026512146,0,54,,
,,,0,54,1.7111610174179077,0.5300182104110718
0.49757662415504456,0.9440000057220459,0.9440000057220459,1,109,,
,,,1,109,0.9246274828910828,0.8495272994041443
0.2633836269378662,0.9643999934196472,0.9643999934196472,2,164,,
,,,2,164,0.529409646987915,0.9209818243980408
0.1655656099319458,0.9735999703407288,0.9735999703407288,3,219,,
,,,3,219,0.33830025792121887,0.9468363523483276
0.12166985124349594,0.9789999723434448,0.9789999723434448,4,274,,
,,,4,274,0.24432013928890228,0.9586181640625
1.2500392198562622,0.8396000266075134,0.8396000266075134,0,54,,
,,,0,54,1.8483364582061768,0.4856727421283722
0.6088224649429321,0.9405999779701233,0.9405999779701233,1,109,,
,,,1,109,1.0387428998947144,0.840072751045227
0.3108755648136139,0.9606000185012817,0.9606000185012817,2,164,,
,,,2,164,0.5726416707038879,0.9204182028770447
0.1882161796092987,0.9682000279426575,0.9682000279426575,3,219,,
,,,3,219,0.352253258228302,0.9430545568466187
0.1342751532793045,0.9739999771118164,0.9739999771118164,4,274,,
,,,4,274,0.24909985065460205,0.9549999833106995
1.129625678062439,0.8744000196456909,0.8744000196456909,0,54,,
,,,0,54,1.7364877462387085,0.5610727071762085
0.5780502557754517,0.9434000253677368,0.9434000253677368,1,109,,
,,,1,109,0.9578208327293396,0.8644727468490601
0.31685298681259155,0.9585999846458435,0.9585999846458435,2,164,,
,,,2,164,0.5566998720169067,0.9251818060874939
0.20085318386554718,0.9684000015258789,0.9684000015258789,3,219,,
,,,3,219,0.3599594533443451,0.9439272880554199
0.1418321430683136,0.9724000096321106,0.9724000096321106,4,274,,
,,,4,274,0.257712721824646,0.9535454511642456
